Kota/Kabupaten;Buta_huruf(y);Penduduk_miskin;APM_SD;Jumlah_sekolah_SD
Kab. Kepulauan Mentawai;1.54;13.97;96.99;134
Kab. Pesisir Selatan;0.54;7.11;99.55;406
Kab. Solok;0.00;7.12;98.71;363
Kab. Sijunjung;0.51;6.00;99.95;212
Kab. Tanah Datar;0.00;4.26;98.70;304
Kab. Padang Pariaman;0.02;6.25;99.26;413
Kab. Agam;0.02;6.22;98.46;439
Kab. Lima Puluh Kota;0.21;6.59;99.62;372
Kab. Pasaman;0.16;6.85;97.97;249
Kab. Solok Selatan;0.27;6.51;99.18;137
Kab. Dharmasraya;0.81;5.56;99.31;167
Kab. Pasaman Barat;0.64;6.93;98.28;275
Kota Padang;0.44;4.26;98.20;412
Kota Solok;0.16;3.02;99.69;48
Kota Sawahlunto;0.26;2.28;99.03;62
Kota Padang Panjang;0.12;5.14;99.03;38
Kota Bukittinggi;0.63;4.46;99.85;65
Kota Payakumbuh;0.05;5.66;98.18;83
Kota Pariaman;0.31;4.13;98.99;81
