GRE Score;TOEFL Score;CGPA
337;118;9.65
324;107;8.87
316;104;8
322;110;8.67
314;103;8.21
330;115;9.34
321;109;8.2
308;101;7.9
302;102;8
323;108;8.6
325;106;8.4
327;111;9
328;112;9.1
307;109;8
311;104;8.2
314;105;8.3
317;107;8.7
319;106;8
318;110;8.8
303;102;8.5
312;107;7.9
325;114;8.4
328;116;9.5
334;119;9.7
336;119;9.8
340;120;9.6
322;109;8.8
298;98;7.5
295;93;7.2
310;99;7.3
300;97;8.1
327;103;8.3
338;118;9.4
340;114;9.6
331;112;9.8
320;110;9.2
299;106;8.4
300;105;7.8
304;105;7.5
307;108;7.7
308;110;8
316;105;8.2
313;107;8.5
332;117;9.1
326;113;9.4
322;110;9.1
329;114;9.3
339;119;9.7
321;110;8.85
327;111;8.4
313;98;8.3
312;100;7.9
334;116;8
324;112;8.1
322;110;8
320;103;7.7
316;102;7.4
298;99;7.6
300;99;6.8
311;104;8.3
309;100;8.1
307;101;8.2
304;105;8.2
315;107;8.5
325;111;8.7
325;112;8.92
327;114;9.02
316;107;8.64
318;109;9.22
328;115;9.16
332;118;9.64
336;112;9.76
321;111;9.45
314;108;9.04
314;106;8.9
329;114;8.56
327;112;8.72
301;99;8.22
296;95;7.54
294;93;7.36
312;105;8.02
340;120;9.5
320;110;9.22
322;115;9.36
340;115;9.45
319;103;8.66
315;106;8.42
317;107;8.28
314;108;8.14
316;109;8.76
318;106;7.92
299;97;7.66
298;98;8.03
301;97;7.88
303;99;7.66
304;100;7.84
306;100;8
331;120;8.96
332;119;9.24
323;113;8.88
322;107;8.46
312;105;8.12
314;106;8.25
317;104;8.47
326;112;9.05
316;110;8.78
329;111;9.18
338;117;9.46
331;116;9.38
304;103;8.64
305;108;8.48
321;109;8.68
301;107;8.34
320;110;8.56
311;105;8.45
310;106;9.04
299;102;8.62
290;104;7.46
296;99;7.28
327;104;8.84
335;117;9.56
334;119;9.48
310;106;8.36
308;108;8.22
301;106;8.47
300;100;8.66
323;113;9.32
319;112;8.71
326;112;9.1
333;118;9.35
339;114;9.76
303;105;8.65
309;105;8.56
323;112;8.78
333;113;9.28
314;109;8.77
312;103;8.45
316;100;8.16
326;116;9.08
318;109;9.12
329;110;9.15
332;118;9.36
331;115;9.44
340;120;9.92
325;112;8.96
320;113;8.64
315;105;8.48
326;114;9.11
339;116;9.8
311;106;8.26
334;114;9.43
332;116;9.28
321;112;9.06
324;105;8.75
326;108;8.89
312;109;8.69
315;105;8.34
309;104;8.26
306;106;8.14
297;100;7.9
315;103;7.86
298;99;7.46
318;109;8.5
317;105;8.56
329;111;9.01
322;110;8.97
302;102;8.33
313;102;8.27
293;97;7.8
311;99;7.98
312;101;8.04
334;117;9.07
322;110;9.13
323;113;9.23
321;111;8.97
320;111;8.87
329;119;9.16
319;110;9.04
309;108;8.12
307;102;8.27
300;104;8.16
305;107;8.42
299;100;7.88
314;110;8.8
316;106;8.32
327;113;9.11
317;107;8.68
335;118;9.44
331;115;9.36
324;112;9.08
324;111;9.16
323;110;8.98
322;114;8.94
336;118;9.53
316;109;8.76
307;107;8.52
306;105;8.26
310;106;8.33
311;104;8.43
313;107;8.69
317;103;8.54
315;110;8.46
