GRE Score;TOEFL Score;SOP;LOR ;CGPA;University Rating
337;118;4.5;4.5;9.65;4
324;107;4;4.5;8.87;4
316;104;3;3.5;8;3
322;110;3.5;2.5;8.67;3
314;103;2;3;8.21;2
330;115;4.5;3;9.34;5
321;109;3;4;8.2;3
308;101;3;4;7.9;2
302;102;2;1.5;8;1
323;108;3.5;3;8.6;3
325;106;3.5;4;8.4;3
327;111;4;4.5;9;4
328;112;4;4.5;9.1;4
307;109;4;3;8;3
311;104;3.5;2;8.2;3
314;105;3.5;2.5;8.3;3
317;107;4;3;8.7;3
319;106;4;3;8;3
318;110;4;3;8.8;3
303;102;3.5;3;8.5;3
312;107;3;2;7.9;3
325;114;3;2;8.4;4
328;116;5;5;9.5;5
334;119;5;4.5;9.7;5
336;119;4;3.5;9.8;5
340;120;4.5;4.5;9.6;5
322;109;4.5;3.5;8.8;5
298;98;1.5;2.5;7.5;2
295;93;2;2;7.2;1
310;99;1.5;2;7.3;2
300;97;3;3;8.1;2
327;103;4;4;8.3;3
338;118;3;4.5;9.4;4
340;114;4;4;9.6;5
331;112;4;5;9.8;5
320;110;5;5;9.2;5
299;106;4;4;8.4;2
300;105;1;2;7.8;1
304;105;3;1.5;7.5;1
307;108;4;3.5;7.7;2
308;110;3.5;3;8;3
316;105;2.5;2.5;8.2;2
313;107;2.5;2;8.5;2
332;117;4.5;4;9.1;4
326;113;4.5;4;9.4;5
322;110;5;4;9.1;5
329;114;4;5;9.3;5
339;119;4.5;4;9.7;5
321;110;3.5;5;8.85;3
327;111;3;4;8.4;4
313;98;2.5;4.5;8.3;3
312;100;1.5;3.5;7.9;2
334;116;4;3;8;4
324;112;4;2.5;8.1;4
322;110;3;3.5;8;3
320;103;3;3;7.7;3
316;102;2;3;7.4;3
298;99;4;2;7.6;2
300;99;3;2;6.8;1
311;104;2;2;8.3;2
309;100;3;3;8.1;2
307;101;4;3;8.2;3
304;105;3;3;8.2;2
315;107;4;3;8.5;2
325;111;3;3.5;8.7;3
325;112;3.5;3.5;8.92;4
327;114;3;3;9.02;3
316;107;3.5;3.5;8.64;2
318;109;3.5;4;9.22;3
328;115;4.5;4;9.16;4
332;118;5;5;9.64;5
336;112;5;5;9.76;5
321;111;5;5;9.45;5
314;108;4.5;4;9.04;4
314;106;3;5;8.9;3
329;114;2;4;8.56;2
327;112;3;3;8.72;3
301;99;3;2;8.22;2
296;95;3;2;7.54;2
294;93;1.5;2;7.36;1
312;105;2;3;8.02;3
340;120;5;5;9.5;4
320;110;5;4.5;9.22;5
322;115;4;4.5;9.36;5
340;115;4.5;4.5;9.45;5
319;103;4.5;3.5;8.66;4
315;106;4.5;3.5;8.42;3
317;107;3.5;3;8.28;2
314;108;4.5;3.5;8.14;3
316;109;4.5;3.5;8.76;4
318;106;4;4;7.92;2
299;97;5;3.5;7.66;3
298;98;4;3;8.03;2
301;97;3;3;7.88;2
303;99;2;2.5;7.66;3
304;100;1.5;2.5;7.84;4
306;100;3;3;8;2
331;120;4;4;8.96;3
332;119;5;4.5;9.24;4
323;113;4;4;8.88;3
322;107;3.5;3.5;8.46;3
312;105;2.5;3;8.12;2
314;106;4;3.5;8.25;2
317;104;4.5;4;8.47;2
326;112;3.5;3;9.05;3
316;110;4;4.5;8.78;3
329;111;4.5;4.5;9.18;4
338;117;3.5;4.5;9.46;4
331;116;5;5;9.38;5
304;103;5;4;8.64;5
305;108;3;3;8.48;5
321;109;4;4;8.68;4
301;107;3.5;3.5;8.34;3
320;110;4;3.5;8.56;2
311;105;3.5;3;8.45;3
310;106;4.5;4.5;9.04;4
299;102;4;3.5;8.62;3
290;104;2;2.5;7.46;4
296;99;3;3.5;7.28;2
327;104;3;3.5;8.84;5
335;117;5;5;9.56;5
334;119;4.5;4.5;9.48;5
310;106;1.5;2.5;8.36;4
308;108;3.5;3.5;8.22;3
301;106;2.5;3;8.47;4
300;100;2;3;8.66;3
323;113;4;3;9.32;3
319;112;2.5;2;8.71;3
326;112;3.5;3;9.1;3
333;118;5;5;9.35;5
339;114;4;4.5;9.76;5
303;105;5;4.5;8.65;5
309;105;3.5;3.5;8.56;5
323;112;4;4.5;8.78;5
333;113;4;4;9.28;5
314;109;3.5;4;8.77;4
312;103;5;4;8.45;3
316;100;1.5;3;8.16;2
326;116;4.5;3;9.08;2
318;109;3.5;3.5;9.12;1
329;110;4;3;9.15;2
332;118;4.5;3.5;9.36;2
331;115;4;3.5;9.44;5
340;120;4.5;4;9.92;4
325;112;3;3.5;8.96;2
320;113;2;2.5;8.64;2
315;105;2;2.5;8.48;3
326;114;3;3;9.11;3
339;116;4;3.5;9.8;4
311;106;3.5;3;8.26;2
334;114;4;4;9.43;4
332;116;5;5;9.28;5
321;112;5;5;9.06;5
324;105;3;4;8.75;3
326;108;3;3.5;8.89;3
312;109;3;3;8.69;3
315;105;2;2.5;8.34;3
309;104;2;2.5;8.26;2
306;106;2;2.5;8.14;2
297;100;1.5;2;7.9;1
315;103;1.5;2;7.86;1
298;99;1.5;3;7.46;1
318;109;3;3;8.5;3
317;105;3.5;3;8.56;3
329;111;4.5;4;9.01;4
322;110;4.5;4;8.97;5
302;102;3.5;5;8.33;3
313;102;2;3;8.27;3
293;97;2;4;7.8;2
311;99;2.5;3;7.98;2
312;101;2.5;3.5;8.04;2
334;117;4;4.5;9.07;5
322;110;4;5;9.13;4
323;113;4;4.5;9.23;4
321;111;4;4;8.97;4
320;111;4.5;3.5;8.87;4
329;119;4.5;4.5;9.16;4
319;110;3.5;3.5;9.04;3
309;108;2.5;3;8.12;3
307;102;3;3;8.27;3
300;104;3.5;3;8.16;3
305;107;2.5;2.5;8.42;2
299;100;3;3.5;7.88;2
314;110;4;4;8.8;3
